ts_event,open,high,low,close,volume
2025-01-07T00:00:00Z,21770.25,21806,21279.5,21392.25,634269
2025-01-08T00:00:00Z,21393.5,21448.25,21166.25,21315,624826
2025-01-09T00:00:00Z,21316.5,21347.25,21211.25,21237.5,81258
2025-01-10T00:00:00Z,21237,21372.5,20874.75,20997.75,684073
2025-01-12T00:00:00Z,21027.5,21027.75,20942.5,21001,8071
2025-01-13T00:00:00Z,20997,21088.5,20694,21046,606645
2025-01-14T00:00:00Z,21046.25,21143.75,20773.5,20948,660411
2025-01-15T00:00:00Z,20947.75,21452.75,20909,21415.25,543933
2025-01-16T00:00:00Z,21415.25,21567.25,21172.25,21235,586790
2025-01-17T00:00:00Z,21233.5,21682.5,21227,21589,575827
2025-01-19T00:00:00Z,21600,21618,21526.5,21545,7797
2025-01-20T00:00:00Z,21546,21778.75,21535.75,21730.5,153169
2025-01-21T00:00:00Z,21731.75,21820.25,21377.75,21810.25,500883
2025-01-22T00:00:00Z,21810.25,22093.5,21804.25,21965.5,484498
2025-01-23T00:00:00Z,21965.5,22050.5,21855.5,22010.25,465434
2025-01-24T00:00:00Z,22011.25,22078.25,21844,21907.75,515799
2025-01-26T00:00:00Z,21771,21771,21633,21665.75,22774
2025-01-27T00:00:00Z,21665.5,21673.25,20763.75,21326.75,1023716
2025-01-28T00:00:00Z,21327,21626,21159.5,21545.5,641720
2025-01-29T00:00:00Z,21546,21697,21367,21539,629671
2025-01-30T00:00:00Z,21538.5,21748.75,21419.5,21698,612137
2025-01-31T00:00:00Z,21698,21966,21533.75,21571,637602
2025-02-02T00:00:00Z,21200,21200,20943,21115,27093
2025-02-03T00:00:00Z,21114,21600,20976.5,21571.5,699597
2025-02-04T00:00:00Z,21571.25,21694,21242.5,21566.5,491207
2025-02-05T00:00:00Z,21568.25,21795,21429.75,21773,491066
2025-02-06T00:00:00Z,21772.25,21882.25,21705.75,21854,436822
2025-02-07T00:00:00Z,21853,21968,21552.75,21575.25,587334
2025-02-09T00:00:00Z,21463.25,21657,21418,21644.75,11954
2025-02-10T00:00:00Z,21645.25,21894,21642.25,21795.75,379067
2025-02-11T00:00:00Z,21796,21871.5,21669.5,21810.5,417899
2025-02-12T00:00:00Z,21810.5,21898.5,21510.75,21888.25,540861
2025-02-13T00:00:00Z,21888,22124,21753,22083,530632
2025-02-14T00:00:00Z,22084.75,22225,22042.5,22203.5,423034
2025-02-16T00:00:00Z,22235.75,22237.75,22196.25,22211.5,12834
2025-02-17T00:00:00Z,22211.25,22281.75,22192.5,22220.5,92562
2025-02-18T00:00:00Z,22220,22319.75,22102.75,22250,457782
2025-02-19T00:00:00Z,22250.5,22299.75,22118,22217.75,491966
2025-02-20T00:00:00Z,22217.75,22230,21951,22161.5,555486
2025-02-21T00:00:00Z,22161,22245.5,21652.75,21660,693510
2025-02-23T00:00:00Z,21700.75,21774.5,21676.75,21758,11452
2025-02-24T00:00:00Z,21758.25,21813,21366.5,21385.25,656376
2025-02-25T00:00:00Z,21385.5,21453.75,20990,21225.75,786119
2025-02-26T00:00:00Z,21225,21409.25,21055,21213.25,645824
2025-02-27T00:00:00Z,21213.25,21386.5,20583.25,20673.75,848293
2025-02-28T00:00:00Z,20672.5,20944.25,20460.5,20909,820338
2025-03-02T00:00:00Z,21005.25,21036.25,20949,20968.5,14083
2025-03-03T00:00:00Z,20969.5,21121,20316.75,20515.75,826857
2025-03-04T00:00:00Z,20514.75,20732.5,20075.25,20578,935086
2025-03-05T00:00:00Z,20579.5,20725,20215,20605,770560
2025-03-06T00:00:00Z,20604.5,20647.5,20003,20187,752428
2025-03-07T00:00:00Z,20187.5,20286.25,19765.5,20207.25,745221
2025-03-09T00:00:00Z,20147.0,20147.0,19932.25,20034.5,19506
2025-03-10T00:00:00Z,20033.25,20156.5,19229.25,19304.25,781592
2025-03-11T00:00:00Z,19306.5,19686.75,19139.25,19476.75,824532
2025-03-12T00:00:00Z,19478.0,19788.75,19387.0,19685.25,682654
2025-03-13T00:00:00Z,19683.75,19694.0,19170.0,19356.25,732341
2025-03-14T00:00:00Z,19358.25,19742.5,19335.0,19667.5,672722
2025-03-16T00:00:00Z,19668.25,19686.25,19550.5,19584.0,15107
2025-03-17T00:00:00Z,19586.0,19959.25,19554.75,19820.75,389904
2025-03-18T00:00:00Z,19821.5,19828.75,19397.75,19504.25,242036
2025-03-19T00:00:00Z,19504.25,19935.0,19455.5,19823.5,142403
2025-03-20T00:00:00Z,20031.5,20105.0,19735.25,19886.25,568330
2025-03-21T00:00:00Z,19885.75,19977.5,19602.25,19970.75,585800
2025-03-23T00:00:00Z,20050.5,20114.25,20050.5,20107.5,24416
2025-03-24T00:00:00Z,20109.75,20409.5,20096.0,20355.0,528609
2025-03-25T00:00:00Z,20354.75,20534.0,20293.0,20523.5,466387
2025-03-26T00:00:00Z,20524.0,20536.75,20003.25,20059.75,623927
2025-03-27T00:00:00Z,20059.5,20199.5,19937.25,19964.75,613473
2025-03-28T00:00:00Z,19965.0,20008.75,19357.5,19361.0,676109
2025-03-30T00:00:00Z,19319.75,19365.0,19215.5,19258.5,24745
2025-03-31T00:00:00Z,19256.5,19489.75,18976.75,19358.25,819159
2025-04-01T00:00:00Z,19359.0,19697.0,19261.25,19644.75,781496
2025-04-02T00:00:00Z,19643.75,20044.25,18819.0,18877.25,859310
2025-04-03T00:00:00Z,18879.75,19177.0,18588.5,18654.25,842018
2025-04-04T00:00:00Z,18654.0,18713.0,17387.5,17483.25,1160456
2025-04-06T00:00:00Z,17100.0,17100.0,16460.0,16718.75,53927
2025-04-07T00:00:00Z,16721.25,18361.5,16480.0,17763.75,1081862
2025-04-08T00:00:00Z,17763.75,18357.25,16876.5,16994.0,952496
2025-04-09T00:00:00Z,16995.5,19386.75,16735.0,19313.5,1043616
2025-04-10T00:00:00Z,19312.25,19336.0,17919.0,18357.0,952337
2025-04-11T00:00:00Z,18352.75,18873.5,18067.0,18820.5,647190
2025-04-13T00:00:00Z,19225.0,19250.0,18931.5,19013.25,25899
2025-04-14T00:00:00Z,19011.5,19256.0,18737.5,18850.75,548134
2025-04-15T00:00:00Z,18849.5,19144.75,18692.75,18729.0,528636
2025-04-16T00:00:00Z,18728.25,18861.25,18116.25,18402.0,669400
2025-04-17T00:00:00Z,18403.5,18652.75,18261.5,18427.75,610473
2025-04-20T00:00:00Z,18306.25,18383.5,18231.25,18314.75,8229
2025-04-21T00:00:00Z,18313.25,18378.25,17700.0,18003.5,476286
2025-04-22T00:00:00Z,18003.5,18802.75,17946.25,18760.75,630189
2025-04-23T00:00:00Z,18761.75,19165.5,18623.75,18839.5,703551
2025-04-24T00:00:00Z,18840.0,19435.5,18594.75,19412.5,591433
2025-04-25T00:00:00Z,19412.75,19589.0,19216.25,19554.75,568781
2025-04-27T00:00:00Z,19524.5,19524.5,19435.25,19454.75,9928
2025-04-28T00:00:00Z,19457.0,19623.0,19257.25,19528.5,504585
2025-04-29T00:00:00Z,19528.25,19688.5,19378.0,19563.0,560770
2025-04-30T00:00:00Z,19562.5,19936.0,19103.75,19917.25,718159
2025-05-01T00:00:00Z,19917.75,20125.75,19749.5,19789.5,570506
2025-05-02T00:00:00Z,19790.0,20276.75,19755.0,20204.5,499240
2025-05-04T00:00:00Z,20181.5,20201.75,20052.5,20085.0,13046
2025-05-05T00:00:00Z,20084.75,20191.5,19966.0,20008.25,400684
2025-05-06T00:00:00Z,20008.75,20133.75,19739.0,20068.0,530774
2025-05-07T00:00:00Z,20067.25,20108.0,19678.75,19953.0,566782
2025-05-08T00:00:00Z,19952.75,20337.25,19925.5,20139.25,560774
2025-05-09T00:00:00Z,20138.25,20288.75,20058.0,20146.5,438163
2025-05-11T00:00:00Z,20398.5,20503.25,20376.75,20453.5,20537
2025-05-12T00:00:00Z,20452.25,20996.0,20441.0,20908.75,613256
2025-05-13T00:00:00Z,20908.5,21346.5,20818.0,21292.5,516372
2025-05-14T00:00:00Z,21292.25,21419.5,21238.25,21375.25,503960
2025-05-15T00:00:00Z,21375.5,21529.75,21192.0,21414.25,532915
2025-05-16T00:00:00Z,21415.0,21512.0,21320.25,21400.25,400829
2025-05-18T00:00:00Z,21310.75,21418.0,21283.75,21381.25,18341
2025-05-19T00:00:00Z,21381.75,21562.0,21112.5,21539.25,496007
2025-05-20T00:00:00Z,21539.0,21562.25,21298.0,21431.5,431946
2025-05-21T00:00:00Z,21431.75,21558.5,21072.75,21145.75,597769
2025-05-22T00:00:00Z,21147.5,21337.5,21040.0,21178.75,507713
2025-05-23T00:00:00Z,21179.25,21231.0,20727.0,20953.25,510290
2025-05-25T00:00:00Z,20978.0,21229.25,20954.25,21188.75,16948
2025-05-26T00:00:00Z,21187.5,21307.75,21168.0,21235.25,79675
2025-05-27T00:00:00Z,21236.25,21488.5,21141.5,21470.75,435915
2025-05-28T00:00:00Z,21470.25,21777.0,21321.25,21766.25,444670
2025-05-29T00:00:00Z,21766.5,21858.75,21301.0,21317.0,533884
2025-05-30T00:00:00Z,21317.25,21433.5,21071.5,21369.0,531098
2025-06-01T00:00:00Z,21303.75,21348.5,21277.0,21304.75,10636
2025-06-02T00:00:00Z,21304.75,21576.25,21163.0,21494.25,428805
2025-06-03T00:00:00Z,21495.0,21759.75,21399.25,21705.0,414678
2025-06-04T00:00:00Z,21705.25,21803.0,21641.0,21741.0,395858
2025-06-05T00:00:00Z,21742.0,21935.0,21471.0,21545.5,586036
2025-06-06T00:00:00Z,21545.25,21873.5,21544.0,21809.5,448799
2025-06-08T00:00:00Z,21799.25,21820.75,21726.0,21762.0,10468
2025-06-09T00:00:00Z,21763.5,21890.75,21716.0,21832.5,344542
2025-06-10T00:00:00Z,21833.0,22002.75,21732.0,21953.75,434000
2025-06-11T00:00:00Z,21954.0,22106.0,21790.75,21837.75,507372
2025-06-12T00:00:00Z,21838.75,21977.25,21713.25,21786.75,378904
2025-06-13T00:00:00Z,21786.0,21854.75,21471.0,21652.0,476334
2025-06-15T00:00:00Z,21554.0,21710.0,21501.75,21689.5,9967
2025-06-16T00:00:00Z,21687.25,21999.5,21660.0,21790.75,165335
2025-06-17T00:00:00Z,21793.25,21910.0,21640.5,21681.0,89211
2025-06-18T00:00:00Z,21905.5,22097.75,21882.25,21948.0,434871
